plate,type,color
TN39OC3693,bike,white
TN21XR7463,bike,black
TN03KS9337,car,red
TN73JG1173,auto,silver
TN94CT8152,truck,silver
TN30JY9837,auto,grey
TN86OL4919,truck,silver
TN52HL3399,truck,grey
TN79ZN8980,truck,white
TN33LQ3631,bike,white
TN75AM2687,auto,white
TN97DR9831,truck,blue
TN69EE5129,auto,silver
TN82UZ4918,car,black
TN81GD5924,auto,white
TN94WD1776,auto,silver
TN36XE4994,truck,blue
TN11RB2276,truck,red
TN62WG4520,car,silver
TN05ZI7468,bike,red
TN40SP5856,car,grey
TN12TQ1287,auto,grey
TN01YO3808,car,red
TN03SP1054,auto,silver
TN56DA3793,bike,red
TN06ZL8605,truck,grey
TN03SR2916,car,white
TN44MZ7531,truck,grey
TN77WQ5821,auto,black
TN72ZD6281,car,silver
TN54RU7261,car,grey
TN39OW8495,car,black
TN63PT6202,truck,grey
TN57PV8995,auto,grey
TN28KZ6716,bike,black
TN21SB5982,auto,black
TN36AJ4742,bike,silver
TN38LO4427,car,white
TN39WQ6141,truck,red
TN80GI4577,car,white
TN35TA4439,truck,grey
TN03XB2958,auto,blue
TN76HS2346,bike,red
TN62RZ1344,truck,red
TN90XI3530,auto,white
TN98RS9590,truck,red
TN20GK4692,bike,black
TN09RT9949,bike,silver
TN19BK1457,bike,blue
TN56AC5224,auto,grey
TN80EU4986,bike,white
TN72ZI1472,auto,silver
TN10WB9134,auto,red
TN39DV5803,truck,grey
TN27VA1796,car,blue
TN84XU4167,car,red
TN50FK8107,car,black
TN74QA1361,car,red
TN36LF7942,car,blue
TN82LO7030,truck,white
TN02HP1623,bike,red
TN98HF1635,auto,white
TN57OQ6181,car,red
TN26MP1976,car,black
TN19CY7374,car,grey
TN40MD8638,truck,black
TN29LD4788,car,white
TN88PJ3832,auto,blue
TN24UU8747,truck,silver
TN67XU7487,car,black
TN85RH9654,car,white
TN26YE5917,auto,black
TN79CL6374,car,silver
TN88ZU9682,truck,red
TN36AA4951,bike,grey
TN05IK6261,auto,black
TN95WM1747,auto,black
TN71PS7136,truck,blue
TN13QG1124,car,grey
TN51SH1633,bike,black
TN28WI9365,bike,black
TN20MQ4311,truck,black
TN17TW9348,bike,grey
TN82OV7612,truck,white
TN96NF9455,truck,black
TN42XL2820,truck,white
TN53TF7996,truck,black
TN43LM7891,auto,black
TN99XY1787,truck,black
TN91EC1089,car,grey
TN08TH2377,auto,white
TN15DW5710,bike,red
TN07UE8764,bike,blue
TN38LF9092,truck,red
TN29FW2158,bike,black
TN87IR5128,car,blue
TN89OM1514,bike,grey
TN81TB9413,car,black
TN19YE3183,car,black
TN90DV2454,truck,red
